Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm)
74,10,6,8,4.2
75,10,5,7.5,3.4
76,9,-0.5,4.3,3.1
77,6.5,2,4.3,0
78,0,-6.5,-3.3,0
79,1.5,-6,-2.3,0
80,5,-6,-0.5,0
81,4.5,-6,-0.8,1.6
82,5,2,3.5,0.6
83,2,-2,0,3.6
84,0,-2,-1,0
85,3.5,-6,-1.3,0
86,12,-4,4,9
87,8,5,6.5,2.2
88,7,-1,3,0
89,8,-3.5,2.3,9.6
90,13,5,9,24
91,11.5,7,9.3,0.6
92,5.5,-1.5,2,0
93,-1,-7,-4,9
94,0,-6,-3,0
95,0.5,-8.5,-4,0
96,8,-3.5,2.3,9.4
97,7.5,1,4.3,0
98,4,-4,0,0
99,1.5,-6,-2.3,0
100,4,-8,-2,8.8
101,8,-1,3.5,2.2
102,8,0,4,0
103,6.5,-5,0.8,0
104,7.5,2,4.8,0
105,14,1.5,7.8,0
106,14,2,8,0
107,18,2.5,10.3,0
108,20,5,12.5,0
109,15,7,11,0
110,12,2,7,0
111,13,4,8.5,2.4
112,18,7.5,12.8,0
113,16,5,10.5,0
116,7,1.5,4.3,5.6
120,13,1,7,3.2
121,10,7,8.5,2
122,11.5,6,8.8,0
123,11,2.5,6.8,0
124,14,3.5,8.8,0
125,19,8,13.5,1
126,18.5,5,11.8,0
127,18,7,12.5,0.6
128,13,4.5,8.8,1.6
129,12.5,2.5,7.5,0
130,15.5,5,10.3,0
131,18.5,5,11.8,0
132,20,7,13.5,0.6
133,22,11,16.5,2.6
134,13,9,11,2
135,9,2,5.5,0
137,14.5,4.5,9.5,0
141,20.5,11,15.8,0
142,24.5,11,17.8,0
143,23.5,11.5,17.5,0.6
144,25,10,17.5,0
145,25.5,11,18.3,0
146,23,14,18.5,0.6
147,27.5,14,20.8,0
148,25,16,20.5,0
149,27,17,22,0
150,29,16,22.5,0
151,27,12,19.5,0
152,18.5,11,14.8,0
153,24.5,14,19.3,0
154,25,12.5,18.8,0
155,23.5,13,18.3,10
156,20.5,16,18.3,3
157,23,15,19,4.6
158,21,12.5,16.8,0
159,15,10.5,12.8,0
160,20,7,13.5,0
161,20,8,14,8
162,31,10.5,20.8,0
163,20,14.5,17.3,0
164,20,11,15.5,0
165,18.5,9,13.8,0
166,23.5,9,16.3,0
167,27,15,21,0
168,28.5,14,21.3,0
169,27,13,20,0
170,29,14,21.5,0
171,30,17.5,23.8,0.6
172,24,14,19,1.2
173,25,14,19.5,0
174,23,10,16.5,0
175,24,12,18,0
176,25,14,19.5,0
177,29,15,22,3.8
178,31.5,19,25.3,0
179,24.5,17.5,21,0
182,22,13,17.5,3
183,26,12,19,0
184,25,10.5,17.8,0
185,27,12,19.5,0
186,28,17,22.5,0
187,29,16,22.5,0
188,31,19,25,0
189,26.5,21,23.8,35
190,27.5,18.5,23,3.2
191,27,16.5,21.8,0
192,24,17,20.5,0
193,27,17,22,0
194,28,20.5,24.3,0.4
195,26,21,23.5,0
196,26,17,21.5,0
197,21,15,18,0
198,25,12,18.5,0
199,31.5,20,25.8,0
200,27,13,20,0
201,24.5,11.5,18,0
202,28.5,14.5,21.5,0
203,36,21,28.5,0
204,33.5,20,26.8,0
205,26,20,23,18
206,31,21,26,0
207,27,18.5,22.8,0
208,29.5,15.5,22.5,11.8
209,28,20,24,1
210,25.5,19.5,22.5,0
211,25,18,21.5,0
212,25,20,22.5,1.6
213,27.5,18.5,23,0
214,26.5,17,21.8,0
215,27,16.5,21.8,0
216,29,18,23.5,0
217,29.5,24,26.8,6.6
218,29.5,19,24.3,0
219,28.5,16,22.3,0
220,29,16.5,22.8,0
221,28.5,15,21.8,0
222,31,21,26,0
223,31,20,25.5,0
224,31.5,25,28.3,1.8
225,26.5,22,24.3,26.8
226,27.5,21,24.3,0
227,25,16,20.5,20.4
228,27,21,24,9
229,24,15,19.5,0
230,28.5,19,23.8,0
231,26,17,21.5,0
232,29.5,20,24.8,14
233,27,22,24.5,0
234,24,12,18,0
235,25,12,18.5,0
236,27,15,21,3.2
237,28,22,25,4
238,27,19.5,23.3,0
239,25,15.5,20.3,0.6
240,31,21,26,0
241,25,18,21.5,0
242,27,15,21,0
243,28,19.5,23.8,0
244,23,14,18.5,0
245,24,14,19,0
246,22,13,17.5,0
247,23,11,17,0
248,25.5,13.5,19.5,0
249,28,16,22,0
250,30,20,25,29
251,30,22,26,0.4
252,28,18.5,23.3,0
253,28,17,22.5,7.6
254,23.5,16,19.8,0
255,23,9.5,16.3,0
256,25,13.5,19.3,0
257,22,16,19,0.4
258,19,9.5,14.3,0
259,21.5,10,15.8,3
260,22,16,19,2.4
261,24,17,20.5,0.5
262,24.5,14,19.3,0
263,27,15.5,21.3,0
264,25.5,11,18.3,0
265,25,14.5,19.8,0.4
266,17.5,13,15.3,1
267,19.5,8,13.8,0
268,17,6,11.5,0
269,17.5,11,14.3,9.4
270,21,7.5,14.3,0
271,22,12,17,0
272,17,14,15.5,3.4
273,18.5,15,16.8,0
274,17.5,15,16.3,3.6
275,20.5,15,17.8,3.4
276,20,13,16.5,0
277,20,12.5,16.3,0
278,19,13,16,0
279,21.5,13,17.3,0
280,20,14,17,2
281,20,14,17,0
282,13,7,10,0
283,12,1.5,6.8,0
284,16.5,3.5,10,0
285,20,5,12.5,0
286,18,13,15.5,1
287,18,1,9.5,0
288,18.5,5.5,12,0.6
289,21,13.5,17.3,4.6
290,20,14,17,0.6
291,22.5,14,18.3,4.8
292,20,9,14.5,3
293,15,11,13,6.2
294,10,9,9.5,6
295,9,4,6.5,0
296,14,3.5,8.8,0
297,10,5,7.5,0.8
298,7,4,5.5,0
299,5.5,-2,1.8,2
300,5.5,1,3.3,7.6
301,14,0,7,0
302,19.5,5,12.3,3.2
303,8,7,7.5,0
304,9.5,-1.5,4,0
305,14.5,1.5,8,0
306,20.5,9.5,15,16.6
307,14.5,9,11.8,0.4
308,12.5,2,7.3,0
309,16.5,4,10.3,0
310,12,2,7,0
311,13.5,2,7.8,0
312,15,1.5,8.3,1.4
313,9,6,7.5,0
314,15,3,9,0
315,6.5,5,5.8,0
316,10,-4.5,2.8,0
317,11,2,6.5,0
318,12.5,4.5,8.5,0
319,11,0,5.5,0
320,12.5,1.5,7,0
321,11,1,6,0
322,15,4,9.5,0
323,14,5,9.5,1
324,1,-1,0,0
325,1.5,-2,-0.3,0
326,3.5,-2,0.8,0
327,1.5,-6,-2.3,2.8
328,4,-1.5,1.3,1.4
329,7,2,4.5,2.6
330,8.5,3.5,6,1.2
331,7.5,2.5,5,0
332,9,1.5,5.3,4.4
333,12,6.5,9.3,0.2
334,12,2,7,13
335,7,5,6,0
336,5,3,4,0.2
337,5,0,2.5,0
338,3,-4,-0.5,8.2
339,7,-1,3,0
340,5,-1.5,1.8,6.8
341,4,2,3,0.6
342,1,0,0.5,1
343,-1,-7,-4,0
344,-3,-5,-4,1
345,2,-7,-2.5,9
346,4,-2,1,0
347,1,-2,-0.5,0
348,-3.5,-8,-5.8,0
349,-7,-12.5,-9.8,7
350,-2.5,-14,-8.3,9
351,0.5,-7,-3.3,1
352,-2.5,-5,-3.8,0
353,-1,-13.5,-7.3,0
354,2,-9,-3.5,0
355,2.5,-3,-0.3,1
356,4,-0.5,1.8,0
357,3.5,-1,1.3,0
358,5,1,3,0
359,2,0,1,1.4
360,9.5,-6.5,1.5,17.2
361,2,0,1,0
362,2,-3,-0.5,2
363,3,-1,1,0
364,2,-3,-0.5,1
365,5,-3.5,0.8,0
