Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
AMC-6,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-71.98,35778,35795,0.000202,0.05,1436.12,3901,2500,,10/22/2000,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580
AMC-7,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-136.94,35773,35798,0.000297,0.01,1436.08,1935,912,"6,500 (EOL)",9/14/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495
AMC-8,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-139,35773,35798,0.000297,0.03,1436.07,2015,919,3300,12/19/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639
AMC-9,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-82.95,35773,35798,0.000297,0.05,1436.08,4100,2000,10000,6/7/2003,15,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820
Amos 2,NR,Israel Aircraft Industries,Israel,Military/Commercial,Communications,,GEO,,-3.98,35778,35794,0.00019,0.05,1436.08,1400,646,"1,900 (EOL)",12/27/2003,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132
Amos 3,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.12E-05,0.04,1436.1,,,,4/28/2008,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794
Amos 4,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,,GEO,,65,35633,35796,0.00194,0.01,1432,,,,8/31/2013,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237
Amos 5,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,,GEO,,17,35595,36007,0.00488,0.09,1436.08,1600,,,12/11/2011,15,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2011-074A,37950
Amsat-Oscar 7,USA,Amsat-NA,USA,Civil,Communications,,LEO,Polar,0,1440,1459,0.00121,101.4,114.9,29,,,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-107.27,35778,35793,0.000178,0.02,1436.08,4710,2950,"15,500 (EOL)",11/21/2000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-107.3,35777,35795,0.000213,0.02,1436.1,4500,,10000,9/9/2005,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-111.07,35781,35790,0.000107,0.01,1436.08,5910,3805,16000,7/18/2004,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-118.69,35778,35794,0.00019,0.01,1436.1,4715,,17500,4/9/2007,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102
Anik G1,NR,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,,GEO,,-107.3,35773,35799,0.000308,0.01,1436.08,4905,,17500,4/15/2013,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127
AntelSat,NR,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Civil,Technology Development,,LEO,Sun-Synchronous,0,612,696,0.00598,97.96,96.99,2,,,6/19/2014,,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034
AprizeSat 1,USA,Aprize Satellites Argentina,Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,696,764,0.00479,98,99.4,12,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372
AprizeSat 10,NR,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,0.00852,97.9,98,12,12,,6/19/2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019
AprizeSat 2,USA,Aprize Satellites Argentina,Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,694,850,0.0109,98.2,100.3,12,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366
AprizeSat 3,USA,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,559,662,0.00738,98.18,97,12,12,,7/29/2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686
AprizeSat 4,USA,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,604,674,0.00499,98.1,97.5,12,12,,7/29/2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684
AprizeSat 5,USA,AprizeSat,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,610,694,0.00598,98.2,97.8,12,12,,8/17/2011,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792
AprizeSat 7,USA,AprizeSat,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,653,0.00422,97.8,97.17,12,12,,11/21/2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416
AprizeSat 8,NR,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,0.00536,97.8,97.99,12,12,,11/21/2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425
AprizeSat 9,NR,exactEarth,Canada,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,0.00725,97.9,98,12,12,,6/19/2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018
Apstar 1A,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,,GEO,,51.47,35779,35790,0.00013,5.89,1436.03,1383,726,,7/3/1996,,Hughes,USA,Xichang Satellite Launch Center,Long March 3,1996-039A,23943
Apstar 6,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,,GEO,,134.04,35778,35794,0.00019,0.01,1436.08,4680,,,4/12/2005,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638
Apstar 7,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,,GEO,,76.5,35864,35874,0.000118,0.03,1440.31,5054,,,3/31/2012,15,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107
Apstar 9,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,,GEO,,142,35782,35788,7.12E-05,0.12,1436.01,5200,,10500,10/16/2015,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982
Apstar 9A,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,,GEO,,87.68,35778,35795,0.000202,0.02,1436.12,3000,1418,"6,797 (EOL)",5/30/1998,15,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354
Arabsat 5C,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,,GEO,,19.99,35766,35805,0.000463,0.06,1436.06,4630,,,9/21/2011,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Arinae 5 ECA,2011-049B,37810
Arabsat 7F,Canada,Arab Satellite Communications Org. (ASCO),Multinational,Commercial,Communications,,GEO,,44.5,35778,35794,0.00019,0.01,1436.09,3600,1700,8600,5/20/1999,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740
ARC-1,NR,University of Alaska-Fairbanks,USA,Civil,Technology Development,,LEO,Non-Polar Inclined,0,497,801,0.0217,64.78,97.71,1,,,10/8/2015,,University of Alaska-Fairbanks,USA,Cape Canaveral,Atlas 5,2015-058F,40969
ArSat 1,Argentina,ArSat,Argentina,Commercial,Communications,,GEO,,-71.8,35778,35795,0.000202,0.01,1436.07,3000,,,10/16/2014,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272
ArSat 2,Argentina,ArSat,Argentina,Commercial,Communications,,GEO,,-81,35786,35801,0.000178,0.01,1436.06,2977,,4600,9/30/2015,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941
Advanced Data Relay and Technology Mission Satellite (Artemis) ,ESA,European Space Agency,ESA,Commercial/Government,Communications/Technology Development,,GEO,,21.36,35771,35803,0.00038,7.03,1436.12,3105,1500,4600,7/12/2001,10,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863
AsiaSat-3S,China,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,,GEO,,105.55,35780,35792,0.000142,0.02,1436.07,3480,2500,10000,3/21/1999,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657
AsiaSat-4,China,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,,GEO,,122.24,35784,35789,5.93E-05,0,1436.1,4137,2275,9500,4/12/2003,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,,GEO,,100.5,35778,35795,0.000202,0,1436.11,3760,,,8/11/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696
AsiaSat-6,China,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,,GEO,,120,35783,35793,0.000119,0.07,1436.17,3700,,,9/7/2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,,GEO,,105.5,35782,35793,0.00013,0.02,1436.17,3813,,,11/25/2011,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,,GEO,,105.5,35781,35793,0.000142,0.07,1436.1,4500,,8500,8/5/2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107
AsiaStar,USA,1Worldspace,USA,Commercial,Communications,,GEO,,104.97,35773,35801,0.000332,0.02,1436.15,2775,1530,5600,3/21/2000,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107
ASNARO-1,Japan,"Ministry of Economy, Trade and Industry",Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,506,507,7.27E-05,97.48,94.75,500,,,11/6/2014,3,NEC,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298
Astra 1D,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,-67.6,35776,35795,0.000225,1.15,1436.08,2924,1700,3300,11/1/1994,15,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331
Astra 1F,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,19.22,35778,35797,0.000225,0.03,1436.15,3010,1800,4400,4/18/1996,15,Hughes,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842
Astra 1G,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,19.24,35780,35791,0.00013,0.04,1436.08,3379,"3,010 (BOL)",6600,12/2/1997,15,Hughes,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071
Astra 1H,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,-67.6,35776,35794,0.000213,0.06,1436.04,3690,2300,6600,6/18/1999,15,Hughes,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785
Astra 1KR,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,19.16,35766,35807,0.000486,0.08,1436.1,4332,,12000,4/20/2006,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055
Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,19.3,35772,35798,0.000308,0.05,1436.03,4500,,13000,5/4/2007,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,19.2,35804,35852,0.000569,0.14,1438.2,5345,,9900,11/5/2008,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436
